"asc1_count"	"asc2_count"	"asc3_count"	"asc4_count"	"neu1_count"	"neu2_count"	"neu3_count"	"neu4_count"	"astro1_count"	"astro2_count"	"endo1_count"	"endo2_count"	"micro1_count"	"micro2_count"	"neuron1_count"	"neuron2_count"	"oligopre1_count"	"oligopre2_count"	"oligonew1_count"	"oligonew2_count"	"oligomye1_count"	"oligomye2_count"
"asc1_count"	NA	0	0	0	0	0	0	0	4.17443857259059e-14	1.92148519317925e-11	3.99680288865056e-14	1.50650603103486e-11	1.75415237890775e-14	4.35496083639464e-12	6.17284001691587e-14	2.35045316543392e-11	6.88338275267597e-14	2.46953568705521e-11	3.73034936274053e-14	1.1953993350744e-11	9.76996261670138e-15	4.09183797955848e-12
"asc2_count"	0	NA	0	0	0	0	0	0	0	4.88498130835069e-15	0	3.5527136788005e-15	0	8.88178419700125e-16	0	5.99520433297585e-15	0	6.43929354282591e-15	0	2.66453525910038e-15	0	8.88178419700125e-16
"asc3_count"	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"asc4_count"	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neu1_count"	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neu2_count"	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neu3_count"	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neu4_count"	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"astro1_count"	4.17443857259059e-14	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
"astro2_count"	1.92148519317925e-11	4.88498130835069e-15	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
"endo1_count"	3.99680288865056e-14	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
"endo2_count"	1.50650603103486e-11	3.5527136788005e-15	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0
"micro1_count"	1.75415237890775e-14	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0
"micro2_count"	4.35496083639464e-12	8.88178419700125e-16	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0
"neuron1_count"	6.17284001691587e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0
"neuron2_count"	2.35045316543392e-11	5.99520433297585e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0
"oligopre1_count"	6.88338275267597e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
"oligopre2_count"	2.46953568705521e-11	6.43929354282591e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
"oligonew1_count"	3.73034936274053e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0
"oligonew2_count"	1.1953993350744e-11	2.66453525910038e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0
"oligomye1_count"	9.76996261670138e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0
"oligomye2_count"	4.09183797955848e-12	8.88178419700125e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
