MGI.symbol HGNC.symbol logFC logCPM LR PValue FDR asc1_count.x asc2_count.x asc3_count.x asc4_count.x neu1_count.x neu2_count.x neu3_count.x neu4_count.x astro1_count.x astro2_count.x endo1_count.x endo2_count.x micro1_count.x micro2_count.x neuron1_count.x neuron2_count.x oligopre1_count.x oligopre2_count.x oligonew1_count.x oligonew2_count.x oligomye1_count.x oligomye2_count.x asc1_count.y asc2_count.y asc3_count.y asc4_count.y neu1_count.y neu2_count.y neu3_count.y neu4_count.y astro1_count.y astro2_count.y endo1_count.y endo2_count.y micro1_count.y micro2_count.y neuron1_count.y neuron2_count.y oligopre1_count.y oligopre2_count.y oligonew1_count.y oligonew2_count.y oligomye1_count.y oligomye2_count.y
1700007G11Rik C4orf22 -6.90940293820155 -0.477117787788099 11.3202248445222 0.00076667429289467 0.0243119477590518 102 33 41 52 0 0 0 1 2 31 0 1 5 0 3 1 4 4 1 0 0 1 37.689125403661 63.9871798246741 99.9571561828693 136.392504489182 0.100357279858817 0.372862377257292 0.38312653644655 0.237814002468189 3.35366756804346 4.37116301529508 3.28044661100801 3.88292775375036 2.1609268277178 2.18527915263384 4.09905207885479 4.83212953115681 4.34101918752026 4.95406455310209 3.17226820584829 3.47727362007595 1.57757257039873 2.12464697633313
1700013F07Rik C1orf194 -9.13501434572388 -0.832731552951795 10.7742087375397 0.00102924205969411 0.0284898049757197 78 25 20 52 0 0 0 0 1 2 1 2 0 0 16 24 0 0 0 0 0 2 35.4577635462552 46.1384984162556 55.2407524156255 57.7712021003212 1.97653626989233e-08 5.62833161485906e-08 4.4324980553656e-08 2.10872015610354e-08 3.30691327662102 3.30350527467547 3.23471311067294 2.93452160690744 2.1308008236951 1.65152413261735 4.04190620152434 3.65188059521821 4.28049998815247 3.7440329553005 3.1280428468474 2.62794860434535 1.5555792492958 1.60570138166443
1700019D03Rik C2orf88 -4.8977279574953 3.1983161023386 12.0451272849084 0.000519279410729268 0.0195177888159638 1023 496 877 936 3 6 51 4 40 22 0 12 6 0 63 63 306 193 93 27 30 35 679.133502739217 839.836301470001 955.604404196862 949.767561358159 8.78315588111227 23.7691061843454 17.7897193859316 8.04316288467168 63.5341745087094 60.3180039144248 62.1470265676572 53.5808091875367 40.9380773100512 30.1548297378657 77.6552490115125 66.6789151892676 82.2392395816597 68.3615056360813 60.0976207956053 47.9831575929245 29.8866148639595 29.3181618225651
1700024G13Rik C10orf53 -7.51374444583227 -2.31545106325216 9.16195472967907 0.00247098483864347 0.0479126275313764 12 8 26 11 0 0 0 0 0 1 5 0 0 0 1 0 0 0 0 0 0 0 22.5974978221848 18.5360056943142 13.9899437265576 9.22298433427903 6.21191675814598e-08 1.11507531364295e-07 5.53575373293159e-08 1.66016342374874e-08 0.622410335391186 0.391951814058406 0.608821188732656 0.348172916822103 0.401048453463834 0.195948795572665 0.760746951634918 0.433285587582748 0.805653856151387 0.444219211627762 0.588744256218791 0.311798873342682 0.292783185191684 0.190512052214384
4930444P10Rik C8orf89 -8.84557086268638 -0.7859885345044 10.8495090361561 0.00098821954236859 0.0281229649910591 80 14 15 39 0 0 0 0 12 0 1 0 1 10 18 49 10 1 6 0 0 0 35.6647632606784 40.0278156582092 41.3360000362245 37.2864208218376 2.53278864316669e-08 6.22077177558136e-08 4.22555319487744e-08 1.7339014015086e-08 8.54412177403883 7.36190242657178 8.35757711490687 6.53961775218946 5.50538226768249 3.68044198768592 10.4431340940255 8.13826114387798 11.0595924637965 8.34362381985277 8.08197154331911 5.85641601832665 4.01917359887102 3.578325419561
Aurka AURKA -3.32681985767379 3.69792070689744 14.7732322642847 0.000121244407639585 0.00760808657938393 753 612 1046 1683 26 13 26 91 232 251 312 297 162 19 204 163 420 437 71 123 46 42 527.978376625531 851.46724016359 1263.46659113173 1637.62806345155 20.3264474298556 71.7358189905264 70.0171819457143 41.2833292328752 185.572943918228 229.755833292919 181.521311406093 204.093349654884 119.573435611992 114.862024347801 226.818295526827 253.985024837905 240.20738307811 260.394138951609 175.535331965209 182.771471888037 87.2939193267548 111.67509305707
Aurkb AURKB -3.65889786504683 4.05295723149271 9.86313221306666 0.00168623778708139 0.0387154967269586 1295 782 1613 1810 102 19 20 29 275 449 321 290 130 36 157 54 508 389 50 49 1 6 1420.42719765511 1500.582580402 1458.62896784906 1238.46990572414 43.4399202121716 100.427514165708 64.2111419460401 24.8010229159494 214.534316187268 173.99540278945 209.850367158491 154.561057584012 138.234619236761 86.9856660663213 262.216608209069 192.344307719136 277.695258714563 197.197966386926 202.930188069092 138.413877958152 100.917412283571 84.5721848256244
Capn9 CAPN9 -6.16632570912652 0.926992223592783 15.0505474165335 0.000104669894637046 0.00688913986524453 160 115 246 281 0 2 3 1 18 4 0 0 0 0 2 5 3 10 0 4 1 0 117.188575974442 175.579784845876 242.051490057346 291.471904346173 0.612085725819877 2.00689319343344 1.81982763192018 0.99686826223594 3.2084195134394 3.69045969645336 3.13836977160339 3.2782553131317 2.06733662788448 1.84497457772128 3.92152126278714 4.07964178420658 4.15300872458876 4.18258836444178 3.03487659614543 2.93577203676181 1.50924756733923 1.79378440198017
Ccdc153 CCDC153 -8.98448141200162 1.03627427703686 14.6068524863356 0.000132432110524376 0.00797230538518487 310 105 182 151 0 0 0 1 6 39 3 9 1 0 5 2 0 0 0 1 0 1 107.048437332693 222.900215011709 427.055830187705 714.684746570934 0.0649180504763315 0.29581377760688 0.372790908487258 0.283800885792803 3.56557430121823 5.69980146360522 3.48772676343483 5.06316447509693 2.29746837078986 2.84950647436046 4.35805709873818 6.30088122489257 4.61531327779977 6.45987905089827 3.3727129364653 4.53420959129494 1.67725396187736 2.77044482280204
Ccnb1 CCNB1 -4.55769583818682 3.7663794089339 9.63450255640308 0.00190955915499962 0.0412827175567728 592 996 1538 2274 20 19 14 29 75 277 212 163 40 0 72 61 520 355 78 26 0 0 744.930162880273 1101.85154659359 1499.59721078314 1782.71472764576 12.2096968367902 39.5216601647645 35.3801333009171 19.1330968406964 118.436782524172 134.491305378143 115.850940490437 119.469354142963 76.314427578871 67.23634987416 144.760483789336 148.674255827927 153.305697423535 152.425934778209 112.030555200076 106.988246991613 55.7129219415799 65.3708279272395
