Ms_gene	asc1_count	asc2_count	asc3_count	asc4_count	neu1_count	neu2_count	neu3_count	neu4_count	astro1_count	astro2_count	endo1_count	endo2_count	micro1_count	micro2_count	neuron1_count	neuron2_count	oligopre1_count	oligopre2_count	oligonew1_count	oligonew2_count	oligomye1_count	oligomye2_count
4930550C14Rik	156	8	92	55	0	0	7	3	11	24	25	52	1	3	20	20	2	0	3	11	10	6
4930558K02Rik	0	0	0	0	0	0	0	0	0	2	5	4	4	9	10	3	0	0	0	0	0	0
4930562C15Rik	0	22	19	13	0	0	0	0	52	36	89	100	23	18	66	74	18	22	9	19	0	1
4930578C19Rik	1	30	2	29	612	0	1	1	1	5	1559	1623	0	4	2	1	2	2	0	0	1	1
4930579G24Rik	234	383	876	861	4	8	119	97	150	310	341	352	29	11	195	186	589	356	150	130	90	138
4930590J08Rik	0	5	5	5	0	0	0	0	25	17	9	7	1	0	35	36	22	9	13	13	0	6
4931406C07Rik	368	408	463	588	20	564	8	8	3069	2778	1566	1525	1580	927	1381	1726	2783	1941	2781	2323	1488	1634
4931406P16Rik	952	968	1244	1371	13	979	606	476	2498	2687	25619	23021	1618	844	1972	2343	4409	4208	5487	4303	4044	4044
4931409K22Rik	0	0	0	0	0	0	0	0	2	5	0	1	1	0	13	1	1	0	0	4	0	0
4931414P19Rik	173	256	343	374	7	4	3	4	112	128	128	147	109	113	138	92	310	222	175	110	83	46
4931423N10Rik	0	0	0	0	0	0	0	0	1	1	0	5	0	0	26	10	2	1	1	1	0	0
4931428F04Rik	54	474	814	570	2	241	274	85	196	255	246	234	210	152	3006	1805	799	798	701	706	350	357
4931429I11Rik	1	23	43	0	0	0	1	0	6	10	42	38	1	2	17	67	2	3	3	0	0	0
4931440F15Rik	0	4	0	0	0	0	37	0	4	8	14	13	1	14	25	31	18	3	0	1	0	2
4932418E24Rik	3	4	1	0	0	0	1	0	0	5	0	7	0	0	76	74	4	0	30	5	82	131
4932438A13Rik	333	527	679	1053	16	609	1107	204	8637	8961	5169	5011	581	206	4796	13207	8118	2739	6615	2223	943	1493
4932438H23Rik	0	99	54	78	0	1	150	61	397	318	4	2	6	1	14	21	43	11	22	18	45	48
4933402J07Rik	0	0	0	0	0	0	0	0	0	0	14	16	0	0	1	0	0	0	0	0	0	0
4933405L10Rik	74	0	9	0	0	0	0	0	15	16	11	8	0	0	24	15	2	10	3	11	1	1
4933409K07Rik	0	0	0	0	0	0	0	0	1	2	9	3	0	2	4	0	0	0	0	0	1	2
4933411K16Rik	0	1	1	0	0	0	0	0	47	69	0	1	0	8	3	8	1	0	0	0	0	0
4933411K20Rik	164	709	918	891	541	177	328	373	709	680	548	606	134	72	408	608	839	262	411	138	46	90
4933426M11Rik	213	538	638	742	188	1061	644	358	3557	4317	5619	5333	8192	5956	2598	2025	2586	2687	2547	3665	1410	1576
4933427D14Rik	3	300	436	494	4	1	22	10	2413	2125	863	764	223	127	1041	2106	1514	738	852	494	274	331
4933430I17Rik	0	36	58	10	0	0	0	0	24	22	43	54	12	0	15	17	15	14	26	13	14	49
4933433C11Rik	0	0	0	0	0	0	0	0	17	11	10	4	0	0	4	1	4	1	8	7	0	5
4933434E20Rik	4707	4166	5301	5149	2174	3961	2609	1324	1625	1733	1274	1296	1841	1470	1494	1321	1699	1750	2029	1876	794	931
5031414D18Rik	1	10	2	20	0	134	57	129	15	17	9	1	1617	1129	8	8	104	29	4	9	5	1
5031439G07Rik	156	285	548	511	488	97	167	255	2622	2071	2674	2676	12211	12533	6737	6164	6443	10382	25860	28443	36336	31833
5330417C22Rik	70	107	179	165	942	262	675	66	5	18	4	13	31	32	8011	8036	20	89	7	14	5	19
5430421N21Rik	0	5	7	0	2	0	1	0	1	0	0	0	11	7	0	0	4	0	0	1	18	15
5430427O19Rik	0	43	0	15	3	170	139	173	1	1	2	0	506	234	0	0	59	12	0	0	0	0
5430435G22Rik	55	154	276	305	7	15	119	50	203	151	4	5	3911	1652	32	40	148	124	1993	1192	2191	1789
5730409E04Rik	235	185	274	448	1	21	157	117	374	317	353	387	468	519	2541	2011	546	697	562	498	1524	1070
5730455P16Rik	311	1365	2125	2060	9	451	474	17	1466	1774	746	759	201	161	2577	3413	2242	1819	2026	1133	502	709
5730508B09Rik	99	15	16	32	1	66	2	2	117	340	1142	1221	69	20	144	104	254	297	316	340	267	210
5730559C18Rik	4	6	7	26	2	49	7	3	18	55	1	1	12	3	125	172	4120	6649	2899	5311	92	177
5830415F09Rik	523	256	258	351	4	5	269	4	78	52	210	263	116	139	37	40	67	47	28	34	58	22
5830418K08Rik	11	429	591	760	4	11	221	7	2333	2112	1014	1141	184	48	619	1634	2124	749	1182	437	66	160
6030419C18Rik	0	19	8	19	3	18	36	39	759	875	26	34	295	413	2909	1939	1420	2730	479	648	306	643
6030458C11Rik	280	598	1012	802	9	180	777	227	1186	1256	1065	899	218	257	1457	1045	1364	734	1248	819	384	430
6030468B19Rik	0	0	0	5	0	252	0	1	0	0	1	2	446	374	0	0	28	10	0	0	0	5
6330403A02Rik	2	7	27	39	424	136	499	103	81	77	132	103	266	345	2423	1352	406	1276	116	178	197	931
6330408A02Rik	152	45	154	103	1	0	20	2	525	445	293	214	76	80	312	213	509	337	389	187	359	273
6330416G13Rik	7	98	379	240	4	185	349	5	823	499	243	182	5845	5526	325	224	517	455	1409	1616	1647	1614
6430548M08Rik	77	674	1153	1373	19	775	1013	33	1190	992	867	788	1309	1573	6428	7952	2101	4181	2046	3190	1721	2524
6430571L13Rik	8	27	10	22	1	0	4	1	37	61	10	13	43	24	331	186	168	206	45	29	2	14
6430573F11Rik	192	33	63	48	1	27	112	132	596	325	373	325	13	0	154	121	365	417	183	177	90	76
6820408C15Rik	0	21	35	25	0	0	53	0	81	140	4	7	3	8	55	55	31	14	16	11	10	15
8030462N17Rik	2	92	115	157	1	279	2	2	899	1187	2887	2432	549	269	1121	994	1115	990	541	515	218	246
8430408G22Rik	2	97	148	70	16	423	333	201	18	6	4612	5305	54	215	30	17	87	18	7	2	13	16
8430419L09Rik	1688	2981	4354	4700	1128	1188	4464	2189	7861	8372	128	140	2136	2401	4848	3511	6225	7709	6141	6564	5678	5129
9030617O03Rik	4	107	203	237	3	138	432	113	282	199	347	319	948	968	55	82	98	94	15	5	22	49
9030624J02Rik	2202	3551	4668	6438	980	2380	2759	670	3626	3686	3028	2892	4885	4673	2941	4978	4771	6044	3246	3775	3089	2619
9130008F23Rik	0	0	0	12	0	2	44	0	8	19	12	13	5	4	17	24	6	1	0	0	0	0
9130011E15Rik	105	306	455	606	2	343	262	25	764	827	1040	1050	1315	959	1778	1331	1003	1356	891	1047	548	594
9130019O22Rik	4	136	134	154	3	102	170	3	200	193	405	332	153	122	68	107	128	133	78	51	57	38
9130401M01Rik	859	611	743	779	45	521	288	180	652	590	677	705	613	510	944	783	651	1121	397	495	251	266
9230104L09Rik	0	13	0	0	0	0	0	0	5	1	1	0	0	0	0	0	1	1	0	0	0	0
9230110C19Rik	436	396	598	792	6	1	232	9	116	204	171	231	0	2	307	263	136	72	50	51	6	34
9330159F19Rik	1051	2746	2693	3320	123	1013	381	123	2631	2208	17	21	36	34	4119	5744	4811	2307	1877	624	412	472
9330182L06Rik	84	79	172	143	7	17	137	13	3474	4337	131	148	27	4	2135	2243	1842	862	3223	1531	755	1227
9430015G10Rik	98	590	755	1018	9	10	179	206	1405	1457	525	488	1064	893	1214	825	1322	1071	790	765	474	460
9430016H08Rik	728	653	780	827	9	887	682	231	835	847	780	749	425	303	743	649	770	1027	623	633	432	440
9430020K01Rik	524	492	332	529	3122	1885	911	311	777	1133	46859	41020	86	435	748	1136	1117	1022	6528	3719	9727	6034
9530053A07Rik	0	2	15	14	0	0	0	0	10	11	17	8	0	0	6	10	3	13	82	111	73	80
9530068E07Rik	896	1466	1560	1671	111	1883	1541	738	3936	5471	9570	9424	7233	5571	6522	5169	7742	8586	6106	6277	6213	6355
9530077C05Rik	491	816	1040	1447	9	189	258	5	393	573	10	7	8	13	769	1012	370	437	107	155	61	105
9630033F20Rik	139	301	558	534	1	2	296	38	241	326	223	229	231	205	341	321	296	348	301	340	200	149
9930012K11Rik	16	39	85	31	3	280	3	5	32	29	526	590	33	39	39	18	69	63	189	122	349	390
9930021J03Rik	14	610	796	921	6	715	814	265	3802	4138	2380	2161	341	148	3468	3937	4020	1653	2541	955	556	571
A130010J15Rik	223	258	336	371	3	299	42	178	552	639	229	240	155	62	266	207	722	543	188	118	69	82
A230046K03Rik	112	1066	1242	1796	16	1266	708	400	2673	3514	2538	2447	789	315	1950	2695	3094	997	4390	1337	1191	1337
A230050P20Rik	16	31	76	37	1	121	3	27	395	315	338	301	483	279	1194	1293	1191	953	495	437	25	95
A2m	87	232	221	144	0	3	450	8	3109	4477	7	19	2	0	86	202	169	158	3	1	0	14
A330021E22Rik	0	30	63	13	1	0	2	115	85	257	37	75	7	1	384	455	177	93	69	25	1	4
A330050F15Rik	0	11	31	3	0	0	115	1	0	0	0	0	5	0	65	48	5	0	0	5	1	10
A3galt2	0	1	9	7	0	1	0	0	13	35	399	404	6	1	35	46	8	17	12	17	0	2
A430005L14Rik	930	1262	1987	1694	765	1161	902	753	395	527	660	649	914	776	362	198	314	594	231	205	321	300
A430078G23Rik	0	0	0	0	0	0	0	0	1	0	0	4	2	2	91	143	3	10	0	1	0	0
A430105I19Rik	2	27	48	74	6	2	7	4	1987	1280	355	355	12	63	166	162	282	219	228	160	225	205
