Ms_gene	asc1_count	asc2_count	asc3_count	asc4_count	neu1_count	neu2_count	neu3_count	neu4_count	astro1_count	astro2_count	endo1_count	endo2_count	micro1_count	micro2_count	neuron1_count	neuron2_count	oligopre1_count	oligopre2_count	oligonew1_count	oligonew2_count	oligomye1_count	oligomye2_count
2310005G13Rik	0	0	0	0	1	0	0	0	0	3	34	33	1	0	1	0	0	0	2	0	8	1
2310007B03Rik	1	2	0	3	4	1	7	2	0	1	0	0	0	0	1	1	0	0	30	14	36	18
2310007L24Rik	0	4	19	4	0	0	0	0	2	1	43	20	0	0	1	12	0	8	0	0	1	0
2310009B15Rik	469	231	256	269	167	27	126	43	91	89	289	304	89	91	201	163	156	242	151	184	146	98
2310011J03Rik	776	747	967	1042	26	574	433	349	510	596	1370	1457	1493	1944	704	528	635	1204	1107	1517	1458	1484
2310014L17Rik	17	18	19	22	15	82	124	25	58	64	69	46	88	49	56	26	91	55	117	105	85	83
2310022A10Rik	164	342	499	449	13	174	62	27	614	688	337	307	1002	975	1265	739	687	963	385	452	205	255
2310022B05Rik	1520	1592	2308	3453	486	752	457	203	9193	9908	3956	3515	6480	5993	3207	2631	3497	4099	3883	5178	6161	6125
2310030G06Rik	1	60	55	27	0	2	126	92	0	17	48	75	1	0	26	18	2	7	4	20	0	1
2310033P09Rik	321	173	145	157	24	31	52	54	490	497	812	791	734	769	495	517	301	525	386	318	292	267
2310035C23Rik	665	573	774	766	12	287	810	369	2917	3147	1770	1819	458	218	4812	4397	2688	1550	5903	3293	1682	1904
2310036O22Rik	168	297	410	397	15	243	97	120	1445	1629	3443	3256	3276	3408	3534	2726	2091	2789	2040	2454	2319	1869
2310039H08Rik	319	325	459	498	320	50	161	9	114	182	371	414	140	120	247	194	136	282	201	252	202	199
2310045N01Rik	541	543	729	1026	131	523	343	86	297	274	835	823	624	687	447	491	398	627	440	466	648	693
2310047M10Rik	120	29	67	97	3	4	32	80	740	708	1147	1030	1782	1834	1178	859	647	945	493	680	844	862
2310050C09Rik	48	20	39	54	80	39	61	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057M21Rik	63	279	332	411	2	135	324	4	511	407	316	306	328	303	528	437	380	427	384	598	185	210
2310061I04Rik	262	181	213	264	25	107	265	6	1283	963	361	295	349	362	1611	1345	900	1170	647	784	361	388
2310067B10Rik	226	725	751	1070	32	690	640	282	3667	3194	1242	978	2107	2132	4501	3849	3036	3660	2132	2258	876	973
2410004B18Rik	516	120	148	82	4	161	57	35	631	787	941	991	506	328	1408	1187	1006	1456	1043	1360	799	693
2410004P03Rik	202	17	70	60	2	37	1	2	58	296	25	26	4	0	48	57	15	74	4	34	0	12
2410015M20Rik	4886	2459	3218	3942	1179	2546	2094	1205	534	540	2210	2681	910	1082	1069	887	870	1331	1093	1222	1448	1453
2410016O06Rik	1	43	33	41	1	145	79	186	206	263	238	199	1348	1228	332	254	629	1314	200	360	129	147
2410089E03Rik	191	567	526	731	505	112	58	104	3470	3710	1003	863	292	218	3508	6077	3543	1804	2378	1075	323	446
2410127L17Rik	0	7	16	5	0	3	0	0	65	58	28	27	27	10	57	36	158	107	73	43	17	11
2410131K14Rik	495	415	648	753	133	403	138	41	806	962	366	315	1070	1218	2310	1517	888	1350	780	801	392	471
2510002D24Rik	214	294	488	366	1	47	227	13	327	270	1013	1053	210	157	474	409	363	425	157	189	212	208
2510003E04Rik	706	540	799	867	14	1374	1227	918	2204	2451	1293	1199	1295	1257	4137	4155	3878	4769	5123	5075	5928	5450
2510009E07Rik	1341	1249	1714	1877	956	990	1079	277	4038	5687	3706	3409	3515	3055	6906	5297	6411	5916	4740	4141	3482	3266
2510039O18Rik	111	262	293	328	21	310	327	480	1550	1531	2872	2672	6156	7962	1641	1212	1954	2905	2347	3234	1786	1816
2510049J12Rik	0	19	8	29	0	0	15	0	7	5	2	5	8	0	13	66	20	53	26	4	2	5
2610002M06Rik	411	761	1009	998	11	1410	463	102	313	513	917	881	147	102	3075	2334	1563	1108	849	507	243	284
2610008E11Rik	675	1217	1474	1696	831	132	178	196	1058	968	762	774	99	54	984	1368	1460	717	803	208	42	108
2610015P09Rik	4	603	749	660	60	31	75	424	758	615	240	201	82	48	94	299	396	80	390	107	119	121
2610018G03Rik	0	5	0	0	1	1	18	1	8	19	12	7	17	35	393	594	28	2	2	0	0	0
2610020H08Rik	2	104	166	35	0	2	17	1	371	462	445	478	75	30	126	113	513	267	165	36	38	26
2610034B18Rik	1412	789	1183	1727	735	53	134	31	889	878	984	1030	94	58	452	282	1231	1804	856	1058	717	756
2610301B20Rik	1196	1044	1492	1748	809	266	535	291	1466	1603	1139	1166	209	203	650	817	1098	1312	1673	1721	787	801
2610507B11Rik	383	1344	1486	2036	434	1088	1475	470	21198	21741	11174	10049	7896	6365	5052	11206	17795	20825	12785	13657	10760	11571
2610528A11Rik	1	0	10	2	3	85	174	110	0	0	6	4	702	495	9	15	74	11	11	8	1	13
2700029M09Rik	712	568	706	827	9	302	307	127	1091	1234	964	978	589	381	1413	1414	1607	1198	1003	540	498	507
2700049A03Rik	62	1225	1242	2109	7	305	53	16	659	782	431	455	121	38	522	957	974	444	398	183	86	56
2700060E02Rik	890	584	708	706	206	368	257	133	680	703	2706	2836	812	610	1096	1013	931	1282	975	1010	1080	938
2700062C07Rik	627	551	739	722	12	139	400	70	336	356	203	237	254	143	347	324	275	224	287	204	237	173
2700081O15Rik	481	601	711	708	576	58	51	61	3595	3904	2603	2409	1881	1978	8023	5255	3309	4138	2214	2551	562	686
2700094K13Rik	3962	3248	4924	5582	685	1220	522	385	296	467	2434	2483	729	618	1709	1277	1350	2012	482	664	383	428
2810004N23Rik	862	927	1259	1649	17	493	322	127	749	757	688	687	427	474	586	387	1041	1134	1232	1039	869	874
2810006K23Rik	641	793	1260	1151	9	503	333	156	255	256	382	402	228	286	324	269	447	649	271	221	216	164
2810403A07Rik	16	585	530	570	11	400	124	75	7689	7856	4540	3920	654	776	5633	4443	4873	2977	2609	2183	708	658
2810408M09Rik	323	108	189	197	10	18	148	12	848	713	539	566	794	984	629	560	708	1431	358	599	640	473
2810417H13Rik	1668	1959	2421	3930	35	28	39	40	41	146	497	529	67	7	123	29	391	500	40	26	0	1
2810428I15Rik	2898	1774	2179	2621	834	1655	808	474	576	567	1634	1799	1102	1181	1232	925	1174	2141	951	1266	1476	1397
2810459M11Rik	606	805	1294	1609	113	233	274	47	3282	4338	22	43	40	55	451	475	1859	2714	456	605	16	70
2810474O19Rik	1057	2417	2707	3207	77	1790	722	384	1681	1735	778	852	423	48	529	958	1718	403	532	69	33	40
2900011O08Rik	1514	1613	2534	1666	113	2440	3237	1057	189	346	140	84	387	453	8488	8774	5155	7402	3750	4876	2175	2501
2900026A02Rik	33	158	140	256	29	374	398	32	523	980	6147	5223	2362	1776	1527	1671	234	321	28	62	170	183
3010026O09Rik	725	726	1176	1215	574	7	254	194	120	129	273	210	116	105	325	488	235	373	162	198	166	208
3110001I22Rik	228	102	210	142	2	176	151	4	319	333	490	529	156	69	112	90	164	91	103	70	33	30
3110002H16Rik	963	877	1085	1287	2091	10	412	69	1485	1358	1082	1191	750	566	1456	1901	866	869	1052	1067	1133	942
3110007F17Rik	45	35	44	49	0	7	0	17	42	53	167	158	22	6	97	31	58	37	37	39	24	57
3110009E18Rik	209	342	440	426	187	218	138	55	56	60	50	19	33	47	72	38	135	121	98	119	72	79
3110035E14Rik	37	291	273	321	11	1143	583	319	27	82	126	105	326	152	1221	2521	50496	55455	26217	32178	668	1716
3110039M20Rik	424	424	447	722	4	3	42	39	55	47	4	5	0	19	191	134	90	103	6	6	0	8
3110040N11Rik	567	320	498	637	655	694	340	184	144	158	331	361	172	156	311	285	183	162	274	228	271	181
3110043O21Rik	657	1013	1588	1533	494	504	582	243	1662	1943	1361	1354	5377	2710	2739	3910	1788	1267	1860	1644	1144	1013
3110057O12Rik	1	92	168	134	1	0	23	20	592	525	167	105	21	7	523	516	750	290	636	209	169	137
3110062M04Rik	79	79	95	110	1	157	87	30	162	135	187	169	180	167	113	106	136	200	171	97	117	137
3110079O15Rik	21	67	47	49	0	75	0	19	106	83	2	0	4	11	9	2	3	4	1	4	6	7
3110082I17Rik	474	173	336	283	6	555	35	71	244	243	532	527	726	463	250	210	235	256	113	165	75	77
3632451O06Rik	195	342	332	308	7	1125	660	205	34	80	45	28	5	24	532	719	9382	10725	4353	3223	411	517
3830403N18Rik	0	10	0	10	0	0	55	0	0	0	67	68	17	15	0	0	5	0	0	0	0	1
3830406C13Rik	1057	1057	1691	1709	9	900	262	411	377	452	459	481	105	29	750	998	823	523	633	317	280	304
4430402I18Rik	15	37	32	29	1	0	86	1	82	70	240	230	19	12	47	19	175	93	111	105	8	43
4632428N05Rik	12	117	157	220	2038	4041	1610	2277	1706	564	9749	9534	137529	175357	69	145	7967	5302	692	1321	554	826
4632434I11Rik	13	209	205	201	1	3	5	3	165	149	195	200	9	1	80	122	138	87	38	19	1	11
4833403I15Rik	0	0	0	0	0	0	0	0	8	6	11	2	0	0	5	25	5	0	1	0	0	0
4833420G17Rik	1404	2570	4337	3816	726	19	239	220	3703	4057	1474	1322	543	285	3946	4082	3403	1315	1725	931	337	364
4833424O15Rik	6	95	246	87	97	787	1562	567	687	659	36	15	12	4	2580	1756	19318	14486	5561	4240	443	558
4833427G06Rik	90	16	12	2	0	0	56	48	1	24	2	1	0	0	4	1	0	0	0	0	1	0
4833439L19Rik	3223	4795	6864	8447	1656	2930	2517	937	5909	6683	5179	4804	6049	5261	4333	4223	7823	9466	10619	13189	7580	7140
4921507P07Rik	0	12	15	7	125	0	1	0	8	11	125	133	4	7	95	64	12	6	7	5	0	5
4921524J17Rik	1182	1108	1582	1471	241	703	365	135	295	378	1718	1667	95	33	742	481	649	456	489	334	89	98
4921536K21Rik	0	21	22	17	0	0	0	1	81	69	48	19	13	24	73	41	36	35	15	15	8	5
4930402H24Rik	297	1885	2044	1987	29	1855	981	357	14990	13874	2528	2142	302	201	7095	6222	3802	3132	28949	21961	13591	14903
4930404N11Rik	16	18	37	45	2	46	124	19	94	109	207	198	5422	4376	465	297	349	490	332	414	213	221
4930427A07Rik	51	98	201	386	6	4	10	5	446	519	84	106	107	23	337	230	683	749	137	206	121	149
4930430F08Rik	295	457	850	902	6	76	418	72	624	608	290	311	20	20	400	355	610	512	713	352	350	345
4930432K21Rik	0	41	72	83	1	0	0	1	67	54	55	36	17	47	117	115	40	51	86	47	126	60
4930444P10Rik	80	14	15	39	0	0	0	0	12	0	1	0	1	10	18	49	10	1	6	0	0	0
4930447C04Rik	0	6	14	3	0	0	0	0	2	8	0	0	0	0	159	43	63	0	18	5	0	8
4930451C15Rik	1	38	77	105	1	0	0	0	22	180	3	6	1	0	5	1	1	0	0	0	0	0
4930452B06Rik	0	37	13	61	0	0	0	78	107	153	42	28	6	5	334	350	195	237	25	22	2	21
4930453N24Rik	628	437	635	520	568	286	204	48	813	931	1031	1065	285	176	473	341	807	954	662	644	396	422
4930467E23Rik	0	0	0	0	0	0	0	0	5	13	0	1	0	0	4	16	0	0	8	2	1	4
4930503L19Rik	16	130	223	182	361	2	31	3	1084	1370	2494	2497	41	26	553	644	1591	738	967	478	154	160
4930505A04Rik	0	1	0	3	0	0	0	0	2	2	1	0	0	0	8	4	4	7	4	11	0	4
4930506M07Rik	188	257	420	351	15	38	303	62	8	48	72	41	58	45	4149	3840	284	227	1343	539	2086	2461
4930523C07Rik	3	60	72	68	3	190	184	53	705	874	2175	2086	50	28	31	20	74	86	2	5	7	7
4930524B15Rik	0	0	3	0	0	0	0	0	3	1	0	0	0	0	3	13	4	0	0	0	0	0
4930529M08Rik	1	26	36	7	0	1	0	0	2	6	1	5	0	0	8	23	4	0	10	0	19	1
4930539E08Rik	0	0	0	7	0	0	0	0	2	9	11	7	30	40	469	469	13	49	2	7	2	15
4930548H24Rik	0	0	1	17	0	0	0	0	9	1	6	6	1	0	2	0	0	0	0	0	1	0
